"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","318,325,000",""
"SURVEY","2018","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","290,851,000",""
"SURVEY","2018","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","282,379,000",""
"SURVEY","2018","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","231,223,000",""
"SURVEY","2018","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","154,366,000",""
"SURVEY","2018","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","179,333,000",""
"SURVEY","2017","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","221,556,000",""
"SURVEY","2017","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","269,857,000",""
"SURVEY","2017","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","272,500,000",""
"SURVEY","2017","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","292,284,000",""
"SURVEY","2017","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","313,593,000",""
"SURVEY","2017","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","310,158,000",""
"SURVEY","2017","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","307,359,000",""
"SURVEY","2017","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","280,194,000",""
"SURVEY","2017","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","255,839,000",""
"SURVEY","2017","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","217,918,000",""
"SURVEY","2017","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","159,258,000",""
"SURVEY","2017","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","168,787,000",""
"SURVEY","2016","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","192,101,000",""
"SURVEY","2016","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","235,559,000",""
"SURVEY","2016","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","243,134,000",""
"SURVEY","2016","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","295,771,000",""
"SURVEY","2016","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","324,942,000",""
"SURVEY","2016","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","328,149,000",""
"SURVEY","2016","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","332,848,000",""
"SURVEY","2016","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","318,774,000",""
"SURVEY","2016","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","269,125,000",""
"SURVEY","2016","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","228,158,000",""
"SURVEY","2016","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","161,203,000",""
"SURVEY","2016","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","166,043,000",""
"SURVEY","2015","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","148,885,000",""
"SURVEY","2015","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","179,003,000",""
"SURVEY","2015","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","184,373,000",""
"SURVEY","2015","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","232,372,000",""
"SURVEY","2015","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","265,198,000",""
"SURVEY","2015","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","256,000,000",""
"SURVEY","2015","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","254,347,000",""
"SURVEY","2015","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","212,189,000",""
"SURVEY","2015","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","187,528,000",""
"SURVEY","2015","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","178,834,000",""
"SURVEY","2015","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","132,740,000",""
"SURVEY","2015","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","155,082,000",""
"SURVEY","2014","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","143,890,000",""
"SURVEY","2014","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","171,773,000",""
"SURVEY","2014","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","191,755,000",""
"SURVEY","2014","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","186,914,000",""
"SURVEY","2014","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","209,430,000",""
"SURVEY","2014","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","199,248,000",""
"SURVEY","2014","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","180,834,000",""
"SURVEY","2014","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","172,789,000",""
"SURVEY","2014","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","152,361,000",""
"SURVEY","2014","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","147,956,000",""
"SURVEY","2014","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","107,566,000",""
"SURVEY","2014","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","104,728,000",""
"SURVEY","2013","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","207,075,000",""
"SURVEY","2013","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","238,342,000",""
"SURVEY","2013","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","254,991,000",""
"SURVEY","2013","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","309,719,000",""
"SURVEY","2013","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","321,954,000",""
"SURVEY","2013","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","318,893,000",""
"SURVEY","2013","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","295,751,000",""
"SURVEY","2013","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","263,928,000",""
"SURVEY","2013","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","233,031,000",""
"SURVEY","2013","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","181,799,000",""
"SURVEY","2013","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","121,627,000",""
"SURVEY","2013","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","112,467,000",""
"SURVEY","2012","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","170,348,000",""
"SURVEY","2012","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","205,172,000",""
"SURVEY","2012","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","208,253,000",""
"SURVEY","2012","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","254,184,000",""
"SURVEY","2012","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","261,586,000",""
"SURVEY","2012","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","243,235,000",""
"SURVEY","2012","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","234,352,000",""
"SURVEY","2012","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","201,135,000",""
"SURVEY","2012","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","195,819,000",""
"SURVEY","2012","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","145,098,000",""
"SURVEY","2012","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","127,282,000",""
"SURVEY","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","153,027,000",""
"SURVEY","2011","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","118,784,000",""
"SURVEY","2011","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","138,672,000",""
"SURVEY","2011","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","144,244,000",""
"SURVEY","2011","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","141,728,000",""
"SURVEY","2011","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","170,095,000",""
"SURVEY","2011","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","190,310,000",""
"SURVEY","2011","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","187,796,000",""
"SURVEY","2011","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","165,698,000",""
"SURVEY","2011","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","150,979,000",""
"SURVEY","2011","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","130,684,000",""
"SURVEY","2011","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","93,523,000",""
"SURVEY","2011","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","106,856,000",""
"SURVEY","2010","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","168,092,000",""
"SURVEY","2010","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","202,896,000",""
"SURVEY","2010","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","195,888,000",""
"SURVEY","2010","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","206,291,000",""
"SURVEY","2010","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","212,488,000",""
"SURVEY","2010","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","197,601,000",""
"SURVEY","2010","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","193,506,000",""
"SURVEY","2010","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","155,253,000",""
"SURVEY","2010","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","129,956,000",""
"SURVEY","2010","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","108,809,000",""
"SURVEY","2010","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","69,932,000",""
"SURVEY","2010","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","81,695,000",""
"SURVEY","2009","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","176,526,000",""
"SURVEY","2009","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","204,927,000",""
"SURVEY","2009","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","212,477,000",""
"SURVEY","2009","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","240,044,000",""
"SURVEY","2009","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","253,310,000",""
"SURVEY","2009","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","262,854,000",""
"SURVEY","2009","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","262,782,000",""
"SURVEY","2009","END OF AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","259,578,000",""
"SURVEY","2009","END OF SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","227,924,000",""
"SURVEY","2009","END OF OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","190,624,000",""
"SURVEY","2009","END OF NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","142,661,000",""
"SURVEY","2009","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","133,022,000",""
"SURVEY","2008","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","188,072,000",""
"SURVEY","2008","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","210,422,000",""
"SURVEY","2008","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","224,804,000",""
